evaluation_version,answerable_question_macro_exact_relation_recall,required_claim_macro_exact_relation_recall,micro_core_relation_recall,claim_core_set_completion,answerable_question_macro_core_set_completion,claim_any_valid_evidence_recall,answerable_question_macro_any_valid_evidence_recall,equivalent_valid_evidence_hit_rate,supporting_only_hit_rate,incomplete_core_set_rate,human_strict_citation_support,human_lenient_citation_support,historical_metric
stage11c_a,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.23333333333333334,0.081481
stage13_2_b,0.027777777777777776,0.037037037037037035,0.04,0.037037037037037035,0.037037037037037035,0.1111111111111111,0.1111111111111111,0.25,0.0,0.0,0.625,0.7083333333333334,0.083333
stage13_3_dev_v2,0.12777777777777777,0.12962962962962962,0.16,0.1111111111111111,0.1111111111111111,0.14814814814814814,0.14814814814814814,0.0,0.0,0.037037037037037035,0.6140350877192983,0.9122807017543859,0.295833
stage13_8_dev_v3_1,0.14629629629629629,0.18518518518518517,0.2,0.18518518518518517,0.18518518518518517,0.2962962962962963,0.2962962962962963,0.375,0.0,0.0,0.48484848484848486,0.7878787878787878,0.295
