variant,query_count,answerable_count,unanswerable_count,exact_gold_block_availability,gold_page_availability,gold_block_recall,multi_paper_all_source_coverage,non_evidence_rate,metadata_contamination_rate,duplicate_evidence_rate,mean_context_token_count,truncation_rate,evidence_role_precision,candidate_to_selected_compression_ratio,unanswerable_nonempty_rate,mean_latency_ms,p95_latency_ms,claim_evidence_set_recall,all_required_claims_evidence_available,claim_level_metric_status,pilot_reviewed_samples,approved_non_absence_samples
stage13_routed_baseline,50,48,2,0.645833,0.875,0.319444,1,0.0,0.0,0.0,1697.5,0,0.593333,4.08,1,18.071166,23.5972,0.384615,0.269231,pending claim-evidence human annotation,40,39
phase_b_adjacent_same_page_completion,50,48,2,0.729167,0.875,0.421528,1,0.172162,0.0,0.0,2314.66,0,0.461264,2.391777,1,25.05035,31.3,0.487179,0.346154,pending claim-evidence human annotation,40,39
