variant,hit_at_1,hit_at_5,recall_at_5,recall_at_10,mrr,ndcg_at_10,faithfulness,citation_coverage,citation_correctness,unsupported_claim_rate,unanswerable_accuracy,mean_latency_ms,p95_latency_ms
fixed_chunk_dense,0.291667,0.458333,0.458333,0.604167,0.367907,0.423156,0.963247,0.05854,0.066667,0.036753,0.96,1.762,2.36
structural_chunk_dense,0.770833,0.875,0.854167,0.854167,0.804514,0.813783,0.995533,0.784686,0.108333,0.004467,0.96,1.923,2.215
structural_chunk_sparse,0.708333,0.8125,0.8125,0.8125,0.756944,0.771327,0.981207,0.628873,0.229167,0.018793,0.96,4.856,5.293
structural_chunk_hybrid,0.770833,0.875,0.854167,0.895833,0.801819,0.822294,0.993047,0.781877,0.170833,0.006953,0.96,6.828,7.445
structural_chunk_hybrid_rerank,0.541667,0.729167,0.729167,0.791667,0.622917,0.663462,0.949523,0.121064,0.2,0.050477,0.96,9.832,10.579
hybrid_rerank_neighbor_context,0.541667,0.729167,0.729167,0.791667,0.622917,0.663462,0.987017,0.075718,0.2,0.012983,0.96,9.865,10.622
