answerable_fixed_denominator,answerable_question_macro_exact_recall_v2,available_questions,directly_comparable_under_v2,evaluation_version,historical_formula,historical_reported_recall,limitations,manifest_questions,micro_exact_gold_relation_recall,micro_relation_denominator,micro_relation_numerator,missing_questions,per_question,provider_or_schema_failures,question_macro_exact_recall,required_claim_macro_exact_recall
9,0.05925925925925926,"[""q001"", ""q002"", ""q004"", ""q005"", ""q007"", ""q008"", ""q013"", ""q015"", ""q019"", ""q050""]",True,stage11c_a,completed answerable macro in historical helper,0.081481,"[""Required-claim and micro relation metrics use inherited question-level Gold candidates and are diagnostic because claim-level Gold mapping is ambiguous."", ""Legacy generated claims are mapped to required claims using the frozen lexical overlap threshold 0.35.""]","[""q001"", ""q002"", ""q004"", ""q005"", ""q007"", ""q008"", ""q013"", ""q015"", ""q019"", ""q050""]",0.020202020202020204,99,2,[],"{""q001"": 0.0, ""q002"": 0.0, ""q004"": 0.2, ""q005"": 1.0, ""q007"": 0.0, ""q008"": 0.0, ""q013"": 0.0, ""q015"": 0.3333333333333333, ""q019"": 0.0, ""q050"": 0.0}",[],0.15333333333333332,0.014814814814814815
9,0.05555555555555555,"[""q001"", ""q002"", ""q004"", ""q005"", ""q007"", ""q008"", ""q013"", ""q015"", ""q019"", ""q050""]",True,stage13_2_b,completed answerable macro; failures dynamically excluded,0.083333,"[""Required-claim and micro relation metrics use inherited question-level Gold candidates and are diagnostic because claim-level Gold mapping is ambiguous."", ""Legacy generated claims are mapped to required claims using the frozen lexical overlap threshold 0.35.""]","[""q001"", ""q002"", ""q004"", ""q005"", ""q007"", ""q008"", ""q013"", ""q015"", ""q019"", ""q050""]",0.020202020202020204,99,2,[],"{""q001"": 0.0, ""q002"": 0.0, ""q004"": 0.0, ""q005"": 0.0, ""q007"": 0.25, ""q008"": 0.0, ""q013"": 0.25, ""q015"": 0.0, ""q019"": 0.0, ""q050"": 0.0}","[""q001"", ""q008"", ""q019""]",0.05,0.018518518518518517
9,0.26296296296296295,"[""q001"", ""q002"", ""q004"", ""q005"", ""q007"", ""q008"", ""q013"", ""q015"", ""q019"", ""q050""]",True,stage13_3_dev_v2,completed answerable macro; q050 failure dynamically excluded,0.295833,"[""Required-claim and micro relation metrics use inherited question-level Gold candidates and are diagnostic because claim-level Gold mapping is ambiguous."", ""Legacy generated claims are mapped to required claims using the frozen lexical overlap threshold 0.35.""]","[""q001"", ""q002"", ""q004"", ""q005"", ""q007"", ""q008"", ""q013"", ""q015"", ""q019"", ""q050""]",0.08080808080808081,99,8,[],"{""q001"": 0.6666666666666666, ""q002"": 1.0, ""q004"": 0.2, ""q005"": 1.0, ""q007"": 0.25, ""q008"": 0.25, ""q013"": 0.0, ""q015"": 0.0, ""q019"": 0.0, ""q050"": 0.0}","[""q050""]",0.33666666666666667,0.07654320987654321
9,0.21666666666666667,"[""q001"", ""q002"", ""q004"", ""q005"", ""q007"", ""q008"", ""q013"", ""q015"", ""q019"", ""q050""]",True,stage13_8_dev_v3_1,fixed ten-question macro with q005 refusal=1,0.295,"[""Required-claim and micro relation metrics use inherited question-level Gold candidates and are diagnostic because claim-level Gold mapping is ambiguous."", ""Legacy generated claims are mapped to required claims using the frozen lexical overlap threshold 0.35.""]","[""q001"", ""q002"", ""q004"", ""q005"", ""q007"", ""q008"", ""q013"", ""q015"", ""q019"", ""q050""]",0.09090909090909091,99,9,[],"{""q001"": 0.0, ""q002"": 1.0, ""q004"": 0.2, ""q005"": 1.0, ""q007"": 0.25, ""q008"": 0.25, ""q013"": 0.25, ""q015"": 0.0, ""q019"": 0.0, ""q050"": 0.0}",[],0.295,0.13518518518518519
